prefix,thld_delta,thld_max,instance,tau_star_val,succ_trials,total_trials,Ps_hat,TTS_at_tau_star
3R3X_n112,0.0004,20.0,32,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,33,27212,13,200,0.065,1864577.033090097
3R3X_n112,0.0004,20.0,34,27212,9,200,0.045,2721658.81503119
3R3X_n112,0.0004,20.0,35,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,36,27212,20,200,0.1,1189400.890064829
3R3X_n112,0.0004,20.0,37,27212,10,200,0.05,2443124.244550832
3R3X_n112,0.0004,20.0,38,27212,6,200,0.03,4114220.34417738
3R3X_n112,0.0004,20.0,39,27212,4,200,0.02,6202925.634250811
3R3X_n112,0.0004,20.0,40,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,41,27212,9,200,0.045,2721658.81503119
3R3X_n112,0.0004,20.0,42,27212,14,200,0.07,1726811.281605315
3R3X_n112,0.0004,20.0,43,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,44,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,45,27212,16,200,0.08,1502920.0407095694
3R3X_n112,0.0004,20.0,46,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,47,27212,11,200,0.055,2215222.069582103
3R3X_n112,0.0004,20.0,48,27212,30,200,0.15,771084.8913930586
3R3X_n112,0.0004,20.0,49,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,50,27212,17,200,0.085,1410719.114060411
3R3X_n112,0.0004,20.0,51,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,52,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,53,27212,10,200,0.05,2443124.244550832
3R3X_n112,0.0004,20.0,54,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,55,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,56,27212,33,200,0.165,694950.2060605668
3R3X_n112,0.0004,20.0,57,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,58,27212,39,200,0.195,577724.2037028372
3R3X_n112,0.0004,20.0,59,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,60,27212,4,200,0.02,6202925.634250811
3R3X_n112,0.0004,20.0,61,27212,12,200,0.06,2025294.116416009
3R3X_n112,0.0004,20.0,62,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,63,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,64,27212,23,200,0.115,1025769.9770756392
3R3X_n112,0.0004,20.0,65,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,66,27212,14,200,0.07,1726811.281605315
3R3X_n112,0.0004,20.0,67,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,68,27212,12,200,0.06,2025294.116416009
3R3X_n112,0.0004,20.0,69,27212,9,200,0.045,2721658.81503119
3R3X_n112,0.0004,20.0,70,27212,19,200,0.095,1255414.4478358673
3R3X_n112,0.0004,20.0,71,27212,10,200,0.05,2443124.244550832
3R3X_n112,0.0004,20.0,72,27212,23,200,0.115,1025769.9770756392
3R3X_n112,0.0004,20.0,73,27212,6,200,0.03,4114220.34417738
3R3X_n112,0.0004,20.0,74,27212,18,200,0.09,1328756.1048621354
3R3X_n112,0.0004,20.0,75,27212,9,200,0.045,2721658.81503119
3R3X_n112,0.0004,20.0,76,27212,12,200,0.06,2025294.116416009
